"Date(UTC)","UnixTimeStamp","No. of Deployed Contracts"
"2016-01-19","1453161600","47"
"2016-01-20","1453248000","71"
"2016-01-21","1453334400","109"
"2016-01-22","1453420800","106"
"2016-01-23","1453507200","89"
"2016-01-24","1453593600","94"
"2016-01-25","1453680000","83"
"2016-01-26","1453766400","73"
"2016-01-27","1453852800","109"
"2016-01-28","1453939200","83"
"2016-01-29","1454025600","83"
"2016-01-30","1454112000","77"
"2016-01-31","1454198400","98"
"2016-02-01","1454284800","90"
"2016-02-02","1454371200","59"
"2016-02-03","1454457600","67"
"2016-02-04","1454544000","108"
"2016-02-05","1454630400","119"
"2016-02-06","1454716800","91"
"2016-02-07","1454803200","45"
"2016-02-08","1454889600","131"
"2016-02-09","1454976000","75"
"2016-02-10","1455062400","66"
"2016-02-11","1455148800","376"
"2016-02-12","1455235200","109"
"2016-02-13","1455321600","91"
"2016-02-14","1455408000","63"
"2016-02-15","1455494400","73"
"2016-02-16","1455580800","102"
"2016-02-17","1455667200","99"
"2016-02-18","1455753600","94"
"2016-02-19","1455840000","635"
"2016-02-20","1455926400","60"
"2016-02-21","1456012800","153"
"2016-02-22","1456099200","105"
"2016-02-23","1456185600","140"
"2016-02-24","1456272000","75"
"2016-02-25","1456358400","112"
"2016-02-26","1456444800","705"
"2016-02-27","1456531200","88"
"2016-02-28","1456617600","119"
"2016-02-29","1456704000","222"
"2016-03-01","1456790400","125"
"2016-03-02","1456876800","87"
"2016-03-03","1456963200","97"
"2016-03-04","1457049600","138"
"2016-03-05","1457136000","170"
"2016-03-06","1457222400","123"
"2016-03-07","1457308800","103"
"2016-03-08","1457395200","166"
"2016-03-09","1457481600","193"
"2016-03-10","1457568000","98"
"2016-03-11","1457654400","92"
"2016-03-12","1457740800","108"
"2016-03-13","1457827200","123"
"2016-03-14","1457913600","183"
"2016-03-15","1458000000","165"
"2016-03-16","1458086400","153"
"2016-03-17","1458172800","98"
"2016-03-18","1458259200","115"
"2016-03-19","1458345600","79"
"2016-03-20","1458432000","156"
"2016-03-21","1458518400","196"
"2016-03-22","1458604800","129"
"2016-03-23","1458691200","236"
"2016-03-24","1458777600","255"
"2016-03-25","1458864000","110"
"2016-03-26","1458950400","121"
"2016-03-27","1459036800","92"
"2016-03-28","1459123200","128"
"2016-03-29","1459209600","210"
"2016-03-30","1459296000","643"
"2016-03-31","1459382400","877"
"2016-04-01","1459468800","138"
"2016-04-02","1459555200","216"
"2016-04-03","1459641600","122"
"2016-04-04","1459728000","125"
"2016-04-05","1459814400","144"
"2016-04-06","1459900800","114"
"2016-04-07","1459987200","154"
"2016-04-08","1460073600","118"
"2016-04-09","1460160000","80"
"2016-04-10","1460246400","89"
"2016-04-11","1460332800","113"
"2016-04-12","1460419200","94"
"2016-04-13","1460505600","79"
"2016-04-14","1460592000","78"
"2016-04-15","1460678400","79"
"2016-04-16","1460764800","64"
"2016-04-17","1460851200","59"
"2016-04-18","1460937600","71"
"2016-04-19","1461024000","57"
"2016-04-20","1461110400","114"
"2016-04-21","1461196800","1015"
"2016-04-22","1461283200","105"
"2016-04-23","1461369600","94"
"2016-04-24","1461456000","94"
"2016-04-25","1461542400","123"
"2016-04-26","1461628800","101"
"2016-04-27","1461715200","87"
"2016-04-28","1461801600","107"
"2016-04-29","1461888000","92"
"2016-04-30","1461974400","143"
"2016-05-01","1462060800","1150"
"2016-05-02","1462147200","108"
"2016-05-03","1462233600","133"
"2016-05-04","1462320000","170"
"2016-05-05","1462406400","166"
"2016-05-06","1462492800","200"
"2016-05-07","1462579200","132"
"2016-05-08","1462665600","116"
"2016-05-09","1462752000","155"
"2016-05-10","1462838400","132"
"2016-05-11","1462924800","345"
"2016-05-12","1463011200","244"
"2016-05-13","1463097600","417"
"2016-05-14","1463184000","124"
"2016-05-15","1463270400","103"
"2016-05-16","1463356800","297"
"2016-05-17","1463443200","310"
"2016-05-18","1463529600","308"
"2016-05-19","1463616000","199"
"2016-05-20","1463702400","300"
"2016-05-21","1463788800","1911"
"2016-05-22","1463875200","498"
"2016-05-23","1463961600","180"
"2016-05-24","1464048000","146"
"2016-05-25","1464134400","193"
"2016-05-26","1464220800","334"
"2016-05-27","1464307200","496"
"2016-05-28","1464393600","1957"
"2016-05-29","1464480000","829"
"2016-05-30","1464566400","309"
"2016-05-31","1464652800","285"
"2016-06-01","1464739200","370"
"2016-06-02","1464825600","288"
"2016-06-03","1464912000","185"
"2016-06-04","1464998400","188"
"2016-06-05","1465084800","244"
"2016-06-06","1465171200","501"
"2016-06-07","1465257600","284"
"2016-06-08","1465344000","384"
"2016-06-09","1465430400","589"
"2016-06-10","1465516800","870"
"2016-06-11","1465603200","964"
"2016-06-12","1465689600","915"
